step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,18,0.11486666666666667,1.0,1723,0.054201430190725576,1380,0.037403287210782586,12693,22020
2,14,0.2242,1.0008920606601248,1640,0.03233753524806797,2697,0.0174257743035302,27890,48630
3,39,0.3002,1.015989340439707,1140,0.023862444580785316,3602,0.013468152639845837,34370,60688
4,7,0.37406666666666666,1.0753876314382462,1108,0.020516646994017167,4463,0.013144640180851017,39935,72716
5,1,0.42686666666666667,1.186162736217398,792,0.0189326326506861,5070,0.012405363336892471,42341,78342
6,30,0.4776,1.1762981574539364,761,0.014027515561802362,5695,0.010920407549041519,47441,88666
7,24,0.5267333333333334,1.241868117959752,737,0.01303605919319968,6264,0.01060302275580196,50533,95958
8,17,0.5658,1.2523860021208908,586,0.01156879791227618,6716,0.010215953682817594,50337,95992
9,29,0.6004,1.2880302020874972,519,0.00929638303221381,7131,0.00949794655170862,50958,97777
10,26,0.6245333333333334,1.3854611443210931,362,0.008622848196493664,7406,0.009242195202034172,50736,97736
11,8,0.6476666666666666,1.4263510036026763,347,0.008210112028226928,7681,0.00897401335366918,50700,98309
12,38,0.6699333333333334,1.4880087570902578,334,0.008027064625049268,7932,0.00892641245389953,50742,98740
